definir_moeda#R$
AC 2770# 0 1000 
AC 3660# 1001 2000
AC 4550# 2001 3000
AC 4995# 3001 4000
AC 5885# 4001 5000
AC 10335# 5001 10000
AL 910# 0 1000
AL 1120# 1001 2000
AL 1330# 2001 3000
AL 1435# 3001 4000
AL 1645# 4001 5000
AL 2695# 5001 10000
AM 2450# 0 1000
AM 3230# 1001 2000
AM 4010# 2001 3000
AM 4400# 3001 4000
AM 5180# 4001 5000
AM 9080# 5001 10000
AP 2140# 0 1000
AP 2820# 1001 2000
AP 3500# 2001 3000
AP 3840# 3001 4000
AP 4520# 4001 5000
AP 7920# 5001 10000
BA 610# 0 1000
BA 690# 1001 2000
BA 770# 2001 3000
BA 810# 3001 4000
BA 890# 4001 5000
BA 1290# 5001 10000
CE 1530# 0 1000
CE 1970# 1001 2000
CE 2410# 2001 3000
CE 2630# 3001 4000
CE 3070# 4001 5000
CE 5270# 5001 10000
DF 1530# 0 1000
DF 1970# 1001 2000
DF 2410# 2001 3000
DF 2630# 3001 4000
DF 3070# 4001 5000
DF 5270# 5001 10000
ES 1260# 0 1000
ES 1610# 1001 2000
ES 1960# 2001 3000
ES 2135# 3001 4000
ES 2485# 4001 5000
ES 4235# 5001 10000
GO 1680# 0 1000
GO 2170# 1001 2000
GO 2660# 2001 3000 
GO 2905# 3001 4000
GO 3395# 4001 5000
GO 5845# 5001 10000
MA 1530# 0 1000
MA 1970# 1001 2000
MA 2410# 2001 3000
MA 2630# 3001 4000
MA 3070# 4001 5000
MA 5270# 5001 10000
MG 1530# 0 1000
MG 1970# 1001 2000
MG 2410# 2001 3000
MG 2630# 3001 4000
MG 3070# 4001 5000
MG 5270# 5001 10000
MS 1680# 0 1000
MS 2170# 1001 2000
MS 2660# 2001 3000 
MS 2905# 3001 4000
MS 3395# 4001 5000
MS 5845# 5001 10000
MT 1870# 0 1000
MT 2430# 1001 2000
MT 2990# 2001 3000
MT 3270# 3001 4000
MT 3830# 4001 5000
MT 6630# 5001 10000
PA 1870# 0 1000
PA 2430# 1001 2000
PA 2990# 2001 3000
PA 3270# 3001 4000
PA 3830# 4001 5000
PA 6630# 5001 10000
PB 1260# 0 1000
PB 1610# 1001 2000
PB 1960# 2001 3000
PB 2135# 3001 4000
PB 2485# 4001 5000
PB 4235# 5001 10000
PE 1260# 0 1000
PE 1610# 1001 2000
PE 1960# 2001 3000
PE 2135# 3001 4000
PE 2485# 4001 5000
PE 4235# 5001 10000
PI 1530# 0 1000
PI 1970# 1001 2000
PI 2410# 2001 3000
PI 2630# 3001 4000
PI 3070# 4001 5000
PI 5270# 5001 10000
PR 1870# 0 1000
PR 2430# 1001 2000
PR 2990# 2001 3000
PR 3270# 3001 4000
PR 3830# 4001 5000
PR 6630# 5001 10000
RJ 1530# 0 1000
RJ 1970# 1001 2000
RJ 2410# 2001 3000
RJ 2630# 3001 4000
RJ 3070# 4001 5000
RJ 5270# 5001 10000
RN 1260# 0 1000
RN 1610# 1001 2000
RN 1960# 2001 3000
RN 2135# 3001 4000
RN 2485# 4001 5000
RN 4235# 5001 10000
RO 2450# 0 1000
RO 3230# 1001 2000
RO 4010# 2001 3000
RO 4400# 3001 4000
RO 5180# 4001 5000
RO 9080# 5001 10000
RR 2200# 0 100000
RR 2580# 0 1000
RR 3400# 1001 2000
RR 4220# 2001 3000
RR 4630# 3001 4000
RR 5450# 4001 5000
RR 9550# 5001 10000
RS 2140# 0 1000
RS 2820# 1001 2000
RS 3500# 2001 3000
RS 3840# 3001 4000
RS 4520# 4001 5000
RS 7920# 5001 10000
SC 1870# 0 1000
SC 2430# 1001 2000
SC 2990# 2001 3000
SC 3270# 3001 4000
SC 3830# 4001 5000
SC 6630# 5001 10000
SE 910# 0 1000
SE 1120# 1001 2000
SE 1330# 2001 3000
SE 1435# 3001 4000
SE 1645# 4001 5000
SE 2695# 5001 10000
SP 1680# 0 1000
SP 2170# 1001 2000
SP 2660# 2001 3000 
SP 2905# 3001 4000
SP 3395# 4001 5000
SP 5845# 5001 10000
TO 1870# 0 1000
TO 2430# 1001 2000
TO 2990# 2001 3000
TO 3270# 3001 4000
TO 3830# 4001 5000
TO 6630# 5001 10000
